Question ID,Question,Story#,Story,Match strength,Rationale
134,Can you tell me about a time when you felt really frustrated with a customer and their demands. How did you deal with it?,1,PNC Canada risk review,4,Managed frustration with risk committee's questions by creating detailed tracking system and individual follow-ups
135,Tell me about a time when you've refused an unreasonable customer request?,1,Statements Hub,5,"Refused Treasurer's API implementation request with data showing technical limitations, proposed better alternative"
136,Tell me about a time you had to compromise in order to satisfy a customer.,1,Global Pay Research,4,Found creative two-stage approach to balance manager's speed requirements with need for thorough research
137,Walk me through a situation when you and a customer didn't agree on what they needed.,1,Statements Hub,5,"Disagreed with Treasurer's API solution, showed data proving limitations, proposed comprehensive alternative that better met needs"
137,Walk me through a situation when you and a customer didn't agree on what they needed.,2,GBAC Vision,4,Pushed back on executive's preference for off-the-shelf solution by demonstrating deeper organizational needs
138,Talk me through a time when there was a tension between your business goals and the needs of the customer.,1,Global Pay Research,5,Balanced pressure for quick roadmap delivery with need for thorough customer research through two-stage approach
139,Tell me about a time when you over promised to a customer and then failed to deliver.,1,PNC Canada risk review,4,"Initially over-confident in risk committee presentation, recovered through systematic follow-up and translation of concepts"
140,Give me an example of a time when you've re-evaluated a product or a service for the benefit of your customer.,1,OLAF Innovation,5,Complete re-evaluation of onboarding process led to innovative solution reducing time by 75%
140,Give me an example of a time when you've re-evaluated a product or a service for the benefit of your customer.,2,Global Pay Roadmap,4,Comprehensive research led to transformation of backward-looking behavioral segmentation into forward-looking needs-based approach
141,Give me an example of a time you made a significant change to your team because you felt you could meet the needs of your customer better.,1,Global Pay Roles,5,Set up dedicated UX team across domains to ensure consistent customer experience and Amex branding
141,Give me an example of a time you made a significant change to your team because you felt you could meet the needs of your customer better.,2,PNC Trade Finance,4,Built custom CRM system to transform team collaboration and customer service
142,How do you develop client relationships?,1,PNC Canada risk review,4,"Built relationships with stakeholders through individual meetings, detailed follow-ups, and translating concepts into their context"
143,How do you anticipate your customer's needs?,1,Global Pay Roadmap,5,Combined behavioral data analysis with extensive research across continents to develop forward-looking needs-based segmentation
143,How do you anticipate your customer's needs?,2,OLAF Innovation,4,Deep analysis of customer pain points led to innovative onboarding solution
144,Tell me about a time you asked for customer feedback.,1,OLAF Innovation,5,"Gathered extensive customer feedback to redesign onboarding process, reducing time by 75%"
144,Tell me about a time you asked for customer feedback.,2,Global Pay Roadmap,4,Conducted comprehensive research with thousands of customers across three continents
145,"How do you ""wow"" your customers?",1,OLAF Innovation,5,Transformed 4-day onboarding process into 1-day experience through innovative solutions
145,"How do you ""wow"" your customers?",2,PNC Trade Finance,4,Built unexpected solution that transformed team performance and lasted 15 years
146,How do you see around the corner to delight the customer with something they didn't know they needed?,1,Statements Hub,5,Identified need for comprehensive hub strategy beyond requested API implementation through deep analysis
146,How do you see around the corner to delight the customer with something they didn't know they needed?,2,GBAC Vision,4,Recognized deeper automation needs beyond surface-level process improvements
147,Tell me about a time you used customer feedback to change the way you worked.,1,OLAF Innovation,5,Used customer feedback to completely redesign onboarding approach with different journeys for different customer types
148,"When you're working with a large number of customers, it's tricky to deliver excellent service to all of them. How do you prioritize the different customer needs?",1,Global Pay Roadmap,5,Used data analytics and research to develop segmentation that maximized customer needs met with minimal capabilities
149,When did you have to work backward from a customer requirement? How did you approach the situation?,1,OLAF Scope,5,Worked backward from customer pain points to expand project scope and create comprehensive solution
149,When did you have to work backward from a customer requirement? How did you approach the situation?,2,OLAF Innovation,4,Started with customer pain points to design innovative onboarding solution
150,"Give me an example of when you did not meet a client's expectations. What happened, and how did you attempt to rectify the situation?",1,PNC Canada risk review,5,"Failed to meet risk committee expectations initially, recovered through systematic follow-up and translation approach"
150,"Give me an example of when you did not meet a client's expectations. What happened, and how did you attempt to rectify the situation?",2,GBAC Vision,3,"Initial vision rejected by executive, adapted approach with more detailed analysis and phased implementation"
151,Describe a difficult interaction you had with a client. What was the situation and what action did you take?,1,PNC Canada risk review,5,Handled challenging risk committee meeting through systematic follow-up and concept translation
152,Tell me about a time you changed your process to better align with customer needs.,1,OLAF Innovation,5,"Completely redesigned onboarding process based on customer needs, reducing time from 4 days to 1"
152,Tell me about a time you changed your process to better align with customer needs.,2,Global Pay STP rates,4,Transformed payment processing to achieve higher straight-through processing rates
153,When did you deal with an angry client? What actions did you take?,1,PNC Canada risk review,4,Managed frustrated risk committee through detailed tracking and individual follow-ups
154,Most of us at one time have felt frustrated or impatient when dealing with customers. Can you tell me about a time when you felt this way?,1,PNC Canada risk review,5,Managed frustration during risk committee meeting by creating systematic approach to address concerns
155,When do you think it's ok to push back or say no to an unreasonable customer request?,1,Statements Hub,5,"Pushed back on API implementation with data showing technical limitations, proposed better solution"
155,When do you think it's ok to push back or say no to an unreasonable customer request?,2,GBAC Vision,4,Declined executive's preference for off-the-shelf solution with data showing inadequacy
156,Tell me about the last time you had to apologize to someone.,1,PNC Canada risk review,4,Acknowledged initial presentation failure and worked systematically to address committee concerns
157,"Tell me about a time a customer wanted one thing, but you felt they needed something else.",1,Statements Hub,5,"Showed Treasurer why requested APIs wouldn't work, proposed comprehensive hub strategy instead"
157,"Tell me about a time a customer wanted one thing, but you felt they needed something else.",2,GBAC Vision,4,Demonstrated why off-the-shelf solution wouldn't meet organizational needs
158,When was a time when you had to balance the needs of the customer with the needs of the business?,1,Global Pay Research,5,Created two-stage approach balancing quick delivery needs with thorough research requirements
158,When was a time when you had to balance the needs of the customer with the needs of the business?,2,OLAF Innovation,4,Balanced customer experience improvements with compliance requirements
159,"When you're working with a large number of customers, it's tricky to deliver excellent service to all of them. How do you prioritize different customer needs?",1,Global Pay Roadmap,5,Used data analytics and research to develop segmentation maximizing value with minimal capabilities
160,When was a time you had to balance the needs of the customer with the needs of the business?,1,Global Pay Research,5,Developed two-stage approach to balance manager's speed requirements with need for thorough research
160,When was a time you had to balance the needs of the customer with the needs of the business?,2,OLAF Innovation,4,Created different onboarding journeys balancing customer experience with compliance needs
161,Give me an example of a change you implemented in your current team or organization to meet the needs of your customers.,1,OLAF Scope,5,"Expanded scope from UI update to comprehensive onboarding redesign, reducing process by 75%"
161,Give me an example of a change you implemented in your current team or organization to meet the needs of your customers.,2,PNC Trade Finance,4,Built custom CRM system transforming team performance and winning awards
162,Tell me about a time a customer wanted one thing but you felt they needed something else.,1,Statements Hub,5,"Showed why requested APIs weren't suitable, proposed comprehensive hub strategy that better met needs"
162,Tell me about a time a customer wanted one thing but you felt they needed something else.,2,GBAC Vision,4,Demonstrated need for custom solution over requested off-the-shelf option
163,Tell me about a time you used customer feedback to change the way you worked.,1,OLAF Innovation,5,"Used customer feedback to redesign onboarding process, reducing time from 4 days to 1"
163,Tell me about a time you used customer feedback to change the way you worked.,2,Global Pay Roadmap,4,Transformed segmentation approach based on extensive customer research
164,How do you get to an understanding of what the customer's needs are?,1,Global Pay Roadmap,5,"Combined data analytics, workshops, and research across continents to develop needs-based segmentation"
164,How do you get to an understanding of what the customer's needs are?,2,OLAF Innovation,4,Deep analysis of customer pain points through process examination and feedback
165,"How do you honestly pursue customer feedback, not just solicit them for compliments?",1,Global Pay Roadmap,5,Conducted comprehensive research across three continents to validate assumptions and identify unmet needs
165,"How do you honestly pursue customer feedback, not just solicit them for compliments?",2,OLAF Innovation,4,Deep dive into customer pain points to identify real issues in onboarding process
166,How do you wow your customers?,1,OLAF Innovation,5,Transformed 4-day process into 1-day experience through innovative redesign
166,How do you wow your customers?,2,PNC Trade Finance,4,Built unexpected solution that transformed team performance
167,Tell me about a time you obsessed over giving very high-quality service to a customer.,1,PNC Trade Finance,5,Went beyond assignment to build system that served customer needs for 15 years
167,Tell me about a time you obsessed over giving very high-quality service to a customer.,2,OLAF Innovation,4,Completely redesigned onboarding to eliminate pain points
168,Can you describe a difficult interaction you've had with a customer?,1,PNC Canada risk review,5,Managed challenging risk committee meeting through systematic follow-up
169,Can you provide an example of when you asked a customer for feedback?,1,Global Pay Roadmap,5,Conducted extensive research with thousands of customers to validate assumptions
169,Can you provide an example of when you asked a customer for feedback?,2,OLAF Innovation,4,Gathered feedback to redesign onboarding process
170,Tell me about a time when you went above and beyond the call of duty for a customer.,1,PNC Trade Finance,5,Built custom CRM system far beyond original marketing assignment
170,Tell me about a time when you went above and beyond the call of duty for a customer.,2,OLAF Scope,4,Expanded project scope significantly to truly solve customer pain points
171,Have you ever refused to indulge an unreasonable request from a customer?,1,Statements Hub,5,"Refused Treasurer's API request with data showing limitations, proposed better solution"
171,Have you ever refused to indulge an unreasonable request from a customer?,2,GBAC Vision,4,Declined executive's preference for off-the-shelf solution with supporting analysis
172,Give me an example of a time you used customer feedback to drive improvement or innovation.,1,OLAF Innovation,5,"Used customer feedback to transform onboarding process, reducing time by 75%"
172,Give me an example of a time you used customer feedback to drive improvement or innovation.,2,Global Pay Roadmap,4,Used customer research to develop optimized roadmap
173,Give me an example of a time when you were able to deliver an important project under a tight deadline.,1,Ripple pilot,5,Delivered first blockchain pilot among major card networks in 4 months despite complex coordination challenges
173,Give me an example of a time when you were able to deliver an important project under a tight deadline.,2,Global Pay Research,4,Met tight roadmap deadline through creative two-stage approach
174,"Tell me about a time when you had significant, unanticipated obstacles to overcome in achieving a key goal.",1,Global Pay STP rates,5,Overcame complex payment processing challenges to achieve 90% straight-through processing target
174,"Tell me about a time when you had significant, unanticipated obstacles to overcome in achieving a key goal.",2,PNC Canada risk review,4,Recovered from failed risk committee presentation through systematic approach
175,Tell me about a time when you not only met a goal but considerably exceeded expectations.,1,PNC Trade Finance,5,Turned simple marketing project into transformative CRM system used for 15 years
175,Tell me about a time when you not only met a goal but considerably exceeded expectations.,2,OLAF Scope,4,Expanded UI update into comprehensive process redesign
176,Tell me about a time when you or your team were more than half way to meeting a goal when you realized it may not be the right goal.,1,Statements Hub,5,Redirected from API implementation to comprehensive hub strategy after discovering broader needs
177,Give me an example of a mission or goal you didn't think was achievable.,1,Ripple pilot,4,Achieved ambitious timeline for first blockchain pilot despite complex coordination challenges
178,Tell me about a time when you did not effectively manage your projects and something did not get completed on time.,1,PNC Canada risk review,5,"Initial risk committee presentation failed due to inadequate preparation, requiring additional time for recovery"
179,Tell me about a time when you hit the right balance setting challenging yet achievable goals.,1,Global Pay Research,5,Created two-stage approach balancing immediate needs with thorough research
180,Tell me about a time when you hit the right balance setting challenging yet achievable goals.,1,Global Pay Research,5,Balanced quick delivery with quality through two-stage approach
180,Tell me about a time when you hit the right balance setting challenging yet achievable goals.,2,GBAC Vision,4,Developed phased approach to make ambitious automation vision achievable
181,Tell me about a time when you went way beyond the scope of the project and over delivered.,1,PNC Trade Finance,5,Transformed simple marketing project into comprehensive CRM system that drove 200% growth
181,Tell me about a time when you went way beyond the scope of the project and over delivered.,2,OLAF Scope,4,Expanded UI update into complete process redesign reducing onboarding time by 75%
182,Describe a time when you had to face particularly challenging situations while working on a project.,1,Ripple pilot,5,Managed complex coordination across multiple time zones and partners to deliver first blockchain pilot
182,Describe a time when you had to face particularly challenging situations while working on a project.,2,Global Pay STP rates,4,Tackled complex payment processing challenges requiring deep analysis
183,Give me an example of a time when you were at risk of not meeting a goal.,1,PNC Canada risk review,5,Recovered from failed risk committee presentation through systematic follow-up
183,Give me an example of a time when you were at risk of not meeting a goal.,2,Ripple pilot,4,Overcame timeline challenges through enhanced project management approach
184,Tell me about a time when barriers you hadn't planned for kept getting in your way.,1,Global Pay STP rates,5,"Discovered unexpected complexity in payment rules, developed systematic approach to address each issue"
184,Tell me about a time when barriers you hadn't planned for kept getting in your way.,2,PNC Canada risk review,4,"Faced unexpected communication challenges with risk committee, created detailed tracking system"
185,Describe a time when you had to face a particularly challenging situation while working on a project.,1,Ripple pilot,5,Managed complex coordination challenges across time zones to deliver first blockchain pilot
186,How you check your progress against your goals?,1,Global Pay STP rates,4,Created systematic approach to track progress toward 90% straight-through processing target
187,Do you set and communicate smart team goals and help remove barriers toward meeting them?,1,Global Pay Roles,5,Set up cross-domain UX team with clear standards and mentored team members into new roles
188,Give me an example of a time you struggled with something and then turned it around.,1,PNC Canada risk review,5,Recovered from failed presentation through systematic stakeholder engagement
189,Tell me about a time where you not only met the goal but considerably exceeded expectations.,1,PNC Trade Finance,5,Built CRM system that drove 200% growth and was used for 15 years beyond original marketing assignment
189,Tell me about a time where you not only met the goal but considerably exceeded expectations.,2,OLAF Scope,4,Transformed simple UI update into comprehensive process redesign
190,What's the most complicated problem you've ever worked on?,1,Global Pay Roadmap,5,"Developed complex roadmap balancing multiple customer segments, technical capabilities, and cross-selling opportunities"
190,What's the most complicated problem you've ever worked on?,2,GBAC Vision,4,Created comprehensive automation strategy for complex banking processes across multiple teams
191,Have you ever worked on something really hard and then failed?,1,PNC Canada risk review,5,"Failed initial risk committee presentation despite extensive preparation, but ultimately succeeded through systematic recovery"
192,Tell me about a technical problem you couldn't solve.,1,Statements Hub,4,"Discovered technical limitations made API implementation unfeasible, pivoted to alternative solution"
193,Describe a situation where you had to face a particularly challenging situation while working on a project.,1,Ripple pilot,5,Managed complex coordination across time zones and partners to deliver first blockchain pilot
193,Describe a situation where you had to face a particularly challenging situation while working on a project.,2,Global Pay STP rates,4,Tackled complex payment processing challenges through systematic analysis
194,Do you set and communicate smart team goals and help remove barriers toward meeting team goals?,1,Global Pay Roles,5,Established cross-domain UX team with clear standards and mentored team members
195,Tell me about a time when you were able to persevere through setbacks to deliver outstanding results.,1,PNC Canada risk review,5,Recovered from failed presentation through systematic follow-up to achieve approval
195,Tell me about a time when you were able to persevere through setbacks to deliver outstanding results.,2,GBAC Vision,4,Adapted vision after initial rejection with more detailed analysis
196,What's the most complex problem you've ever worked on?,1,Global Pay Roadmap,5,"Developed complex roadmap balancing multiple segments, capabilities, and cross-selling opportunities"
196,What's the most complex problem you've ever worked on?,2,GBAC Vision,4,Created comprehensive automation strategy across multiple banking processes
197,"Tell me about a time when you were leading a group, were assigned a goal, and did not reach it.",1,GBAC Vision,3,Project put on hold due to external factors despite progress in gaining support
198,Tell me about a time where you not only met a goal but considerably exceeded expectations.,1,PNC Trade Finance,5,Transformed marketing project into transformative CRM system used for 15 years
198,Tell me about a time where you not only met a goal but considerably exceeded expectations.,2,OLAF Scope,4,Expanded UI update into comprehensive process redesign
199,Tell me about a time when you were able to deliver an important project under a tight deadline.,1,Ripple pilot,5,Delivered first blockchain pilot in 4 months despite complex coordination challenges
200,Tell me about a time where you did not effectively manage your project and something did not get completed on time?,1,PNC Canada risk review,5,"Initial presentation failure led to project delays, required systematic recovery approach"
201,"Tell me about a time you had significant, unanticipated obstacles to overcome in achieving a key goal",1,PNC Canada risk review,5,Shows overcoming significant roadblock with risk committee through persistence and adaptation
201,"Tell me about a time you had significant, unanticipated obstacles to achieve a key goal",2,Ripple pilot,4,Demonstrates overcoming timezone coordination challenges to meet aggressive deadline
202,Tell me about a time when you were able to remove a serious roadblock/barrier preventing your team from making progress,1,OLAF Scope,5,Shows removing onboarding process barriers by questioning requirements and getting executive approval
202,Tell me about a time when you were able to remove a serious roadblock/barrier preventing your team from making progress,2,OLAF Innovation,4,Demonstrates removing ownership structure verification bottleneck through process redesign
203,Tell me about a time when you were more than half-way and realized it was the wrong goal,1,Statements Hub,5,Shifted from implementing APIs to creating company-wide strategy after discovering APIs wouldn't scale
204,Tell me about a time when you were trying to understand a complex problem and had to dig into the details,1,Global Pay STP rates,5,Deep investigation into payment processing rules and procedures across multiple teams
204,Tell me about a time when you were trying to understand a complex problem and had to dig into the details,2,GBAC Vision,4,Detailed analysis of 17 banking processes with 145 steps and 42 handoffs
205,Tell me about a situation that required you to dig deep to get to the root cause,1,Global Pay STP rates,5,Analyzed root causes of payment failures by investigating operational rules and procedures
205,Tell me about a situation that required you to dig deep to get to the root cause,2,PNC Trade Finance,4,Discovered visibility issues by shadowing team and analyzing workflows
206,Tell me about a problem you had to solve that required in-depth thought and analysis,1,Global Pay Roadmap,5,Deep analysis of customer segments and needs across multiple countries to optimize product roadmap
206,Tell me about a problem you had to solve that required in-depth thought and analysis,2,Global Pay Research,4,Comprehensive research to transform behavioral segmentation into needs-based segmentation
207,Walk me through a big problem or issue in your organization that you helped to solve,1,OLAF Scope,5,Identified and solved major onboarding inefficiencies through process redesign
207,Walk me through a big problem or issue in your organization that you helped to solve,2,PNC Trade Finance,4,Solved team isolation issues by building custom CRM system
208,Tell me about a specific metric you have used to identify a need for a change in your department,1,Global Pay STP rates,4,Used STP rates (60% vs target 90%) to drive process improvements
209,Have you ever created a metric that helped identify a need for a change in your department,1,Global Pay STP rates,3,"While working with STP metrics, story doesn't specifically mention creating new metrics"
210,Tell me about a time when you had to validate the assumptions underlying a direct report's project,0,No match,0,No stories specifically discuss validating a direct report's project assumptions
211,"Amazon uses a root cause analysis process called the 5 whys. Can you give me an example of when you asked ""why"" 5 times to get to the bottom of a problem?",1,OLAF Innovation,5,"Repeatedly questioned ""why"" for each onboarding requirement until reaching root purpose"
211,"Amazon uses a root cause analysis process called the 5 whys. Can you give me an example of when you asked ""why"" 5 times to get to the bottom of a problem?",2,Global Pay STP rates,4,Questioned rationale behind each operational rule and procedure
212,Give me an example of a time when you had to dig really deep into multiple tiers of information to get to the source of a problem,1,Global Pay Roadmap,5,"Analyzed multiple tiers: transaction data, customer segments, market research across continents"
212,Give me an example of a time when you had to dig really deep into multiple tiers of information to get to the source of a problem,2,GBAC Vision,4,Investigated multiple layers of banking processes across teams and systems
213,Walk me through a problem where the solution wasn't easy to get to and you needed to use lots of data and scrutiny to solve it,1,Global Pay Roadmap,5,"Used transaction data, segmentation analysis, and market research to optimize product roadmap"
213,Walk me through a problem where the solution wasn't easy to get to and you needed to use lots of data and scrutiny to solve it,2,Statements Hub,4,Analyzed statement usage across multiple Amazon teams to develop hub strategy
214,Can you tell me about a data point that lead you to decide something needed to be changed in your area?,1,Global Pay STP rates,5,60% STP rate vs 90% target led to process overhaul
215,Can you give me an example of a time when someone gave you an explanation you didn't think was right and you investigated to get the true answer?,1,Global Pay STP rates,4,Investigated assumed regulatory requirements that turned out to be outdated practices
216,Give me an example of when you used data to make a decision/solve a problem,1,Global Pay Roadmap,5,Used customer segmentation and market research data to determine product roadmap
216,Give me an example of when you used data to make a decision/solve a problem,2,OLAF Innovation,4,Analyzed customer data to design different onboarding journeys
217,Tell me about an important analysis you did,1,Global Pay Roadmap,5,Comprehensive analysis combining behavioral data and market research to develop strategy
217,Tell me about an important analysis you did,2,Statements Hub,4,Analysis of statement usage across Amazon led to new company-wide strategy
218,Tell me a time you gave insights beyond the data,1,Global Pay Research,5,Transformed behavioral segmentation into needs-based segmentation through additional research
219,Have you ever leveraged data to develop strategy?,1,Global Pay Roadmap,5,Used customer data and research to develop product strategy and roadmap
219,Have you ever leveraged data to develop strategy?,2,Statements Hub,4,Used analysis of statement usage to develop company-wide strategy
220,Tell me about a time you were trying to understand a problem on your team and you had to go down several layers to figure it out,1,Global Pay STP rates,5,Investigated multiple layers of payment processing rules and procedures
220,Tell me about a time you were trying to understand a problem on your team and you had to go down several layers to figure it out,2,PNC Trade Finance,4,Discovered deep visibility issues by investigating team workflows
221,Tell me about a problem you had to solve that required in-depth thought and analysis,1,Global Pay Roadmap,5,Complex analysis of customer segments and market research to develop optimal product roadmap
221,Tell me about a problem you had to solve that required in-depth thought and analysis,2,GBAC Vision,4,Deep analysis of 17 banking processes to develop automation strategy
222,Walk me through a big problem in your organization that you helped to solve,1,PNC Trade Finance,5,Transformed underperforming team by identifying and solving visibility issues
222,Walk me through a big problem in your organization that you helped to solve,2,OLAF Scope,4,Solved major onboarding inefficiencies through process redesign
223,Can you tell me about a specific metric you've used to identify a need for change in your department?,1,Global Pay STP rates,4,Used STP rates to identify need for process improvements
224,When did you dig into a specific metric or KPI?,1,Global Pay STP rates,4,Analyzed STP rates to understand payment processing bottlenecks
225,Walk me through a big problem in your organization that you helped to solve,1,PNC Trade Finance,5,Solved team isolation issues with custom CRM system that drove 200% growth
225,Walk me through a big problem in your organization that you helped to solve,2,OLAF Scope,4,Redesigned onboarding process reducing time by 75%
226,Tell me about the most complex problem you've ever worked on,1,Global Pay Roadmap,5,"Multi-year program involving segmentation, research across continents, and complex roadmap development"
226,Tell me about the most complex problem you've ever worked on,2,GBAC Vision,4,Complex automation of 17 banking processes with 145 steps across multiple teams
227,Tell me about a time you were trying to understand a problem on your team and had to go down several layers,1,Global Pay STP rates,5,Investigated multiple layers of payment processing rules and procedures
227,Tell me about a time you were trying to understand a problem on your team and had to go down several layers,2,PNC Trade Finance,4,Discovered deep visibility issues through team workflow analysis
228,Tell me about communicating a change in direction that people would have concerns with,1,Statements Hub,5,"Changed from API implementation to company-wide strategy, addressed stakeholder concerns"
228,Tell me about communicating a change in direction that people would have concerns with,2,GBAC Vision,4,"Adapted vision after executive pushback, built support through detailed analysis"
229,Give me an example of a tough or critical piece of feedback you received,1,PNC Canada risk review,5,"Received harsh feedback from risk committee, adapted approach and succeeded"
229,Give me an example of a tough or critical piece of feedback you received,2,GBAC Vision,4,"Received pushback from executive about ambitious vision, adjusted approach"
230,Describe a time when you needed to influence a peer who had a differing opinion about a shared goal,1,Global Pay Research,5,Successfully influenced manager to support comprehensive research approach through compromise
230,Describe a time when you needed to influence a peer who had a differing opinion about a shared goal,2,OLAF Scope,4,Convinced stakeholders to expand limited scope into comprehensive solution
231,Give me an example of a time when you were not able to meet a commitment.,1,GBAC Vision,4,Project put on hold due to tech downturn despite commitment to improve banking processes
232,Tell me about a time when your team's goals were out of alignment with another team,1,PNC Canada risk review,5,Clear misalignment between risk committee and product team on Canadian banking solution
233,Tell me about a time when you uncovered a significant problem in your team,1,PNC Trade Finance,5,Discovered fundamental visibility and collaboration problems in Trade Finance team
234,Describe a time when you improved morale and productivity on your team,1,Global Pay STP rates,3,Improved team effectiveness by mentoring analyst into product role while solving technical challenges
235,Tell me about a time when a team member was struggling at work,1,Global Pay STP rates,5,"Identified business analyst's potential, mentored them into product management role"
236,Tell me about a time when you uncovered a significant problem in your team,1,PNC Trade Finance,5,Identified core visibility and process issues beyond original marketing assignment
236,Tell me about a time when you uncovered a significant problem in your team,2,Statements Hub,4,Discovered inefficient duplicate infrastructure for bank statement processing across teams
237,Describe a time when there was a morale issue in your team,0,No match,0,No stories specifically address team morale issues and recovery
238,Give an example of a time where you failed on an obligation to a colleague,1,PNC Canada risk review,4,"Failed to effectively present to risk committee, learned valuable stakeholder management lessons"
239,Tell me about a piece of feedback you recently gave to a colleague,1,Global Pay STP rates,3,Provided constructive feedback and mentoring to business analyst transitioning to product role
240,Tell me about a time you were tasked with giving your team news they would not like,0,No match,0,No stories specifically about delivering difficult news to team
241,Tell me about a time when you needed cooperation from someone who didn't want to give it,1,OLAF Scope,5,Convinced resistant stakeholders to expand project scope by demonstrating value and opportunities
241,Tell me about a time when you needed cooperation from someone who didn't want to give it,2,PNC Canada risk review,4,Gained risk committee support through one-on-one meetings after initial resistance
242,Give me an example of a time when you had goals in conflict with a peer,1,Global Pay Research,5,Resolved conflict with manager over research approach through creative compromise
243,Tell me about a time you had to earn trust quickly,1,GBAC Vision,5,Had to quickly build trust as newcomer while proposing ambitious vision at Amazon
243,Tell me about a time you had to earn trust quickly,2,OLAF Scope,4,Earned trust as new employee by demonstrating value through detailed analysis
244,Describe a time when you significantly contributed to improving morale and productivity,1,Global Pay STP rates,3,Improved team effectiveness through mentoring and process improvements
245,Give an example of not meeting a commitment to a team member,1,GBAC Vision,4,Unable to complete promised automation project due to company-wide spending freeze
246,Tell me about a piece of direct feedback you recently gave to a colleague,1,Global Pay STP rates,3,Provided feedback and guidance to analyst transitioning to product role
247,How do you like to receive feedback from coworkers or managers,0,No match,0,No stories discuss receiving personal feedback
248,Tell me about communicating a big change with anticipated concerns,1,Global Pay Research,4,Managed transition to two-stage approach despite initial resistance
249,Tell me about a time when someone criticized your work,1,PNC Canada risk review,5,"Received harsh feedback from risk committee, used it to improve approach"
250,How do you convince someone resistant to what you're trying to do,1,OLAF Scope,5,Used data and examples to convince skeptical stakeholders
250,How do you convince someone resistant to what you're trying to do,2,GBAC Vision,4,Adapted approach after pushback to gain executive support through visualization and phasing
251,Tell me about a time you uncovered a problem on your team,1,PNC Trade Finance,5,Discovered fundamental visibility and collaboration issues in Trade Finance operations
251,Tell me about a time you uncovered a problem on your team,2,Statements Hub,4,Identified inefficient duplicate infrastructure across teams for bank statements
252,What would you do if your closest friend at work was stealing,0,No match,0,No stories address ethical dilemmas or misconduct situations
253,Tell me about a time when you had to tell someone a harsh truth,0,No match,0,No stories specifically about delivering difficult personal feedback
254,Do you collaborate well,1,OLAF Scope,5,Demonstrated collaboration across multiple teams to transform onboarding process
254,Do you collaborate well,2,Ripple pilot,4,Successfully coordinated complex project across multiple organizations and time zones
255,How do you earn trust from a team that you inherited,0,No match,0,No stories about taking over leadership of existing teams
256,When did you negotiate with others to reach an agreement,1,Global Pay Research,5,Negotiated creative compromise with manager on research approach
256,When did you negotiate with others to reach an agreement,2,OLAF Scope,4,Negotiated with stakeholders to expand project scope
257,Tell me how you've built trusting working relationships,1,OLAF Scope,5,Built trust through thorough analysis and demonstrating value to stakeholders
257,Tell me how you've built trusting working relationships,2,PNC Canada risk review,4,Rebuilt trust with risk committee through one-on-one meetings
258,Give an example of not meeting a commitment to a team member,1,GBAC Vision,4,Unable to complete automation project due to company-wide freeze
259,Describe getting cooperation from resistant peers,1,OLAF Scope,5,Convinced resistant stakeholders by showing concrete opportunities
259,Describe getting cooperation from resistant peers,2,PNC Canada risk review,4,Won over resistant risk committee members through individual meetings
260,Tell me about receiving criticism of your work,1,PNC Canada risk review,5,"Received harsh feedback from risk committee, used it constructively"
261,Tell me about communicating a big change in direction,1,Global Pay Research,4,Managed transition to two-stage approach despite initial concerns
262,Tell me about a critical piece of feedback you received,1,PNC Canada risk review,5,Received and acted on harsh feedback from risk committee
263,Tell me about when you saw your team member struggling,1,Global Pay STP rates,5,Identified struggling analyst and helped transition to product role
264,How did you effectively build trusting working relationships,1,OLAF Scope,5,Built trust through detailed analysis and demonstrating value
264,How did you effectively build trusting working relationships,2,PNC Canada risk review,4,Rebuilt relationships with risk committee through individual attention
265,Describe getting cooperation from a resistant peer,1,OLAF Scope,5,Convinced resistant stakeholders by showing concrete opportunities
265,Describe getting cooperation from a resistant peer,2,GBAC Vision,4,Won executive support through revised approach and visualization
266,How did you align mismatched team goals,1,PNC Canada risk review,5,Aligned risk committee and product team goals through detailed follow-up
267,Example of helping save costs or eliminate waste,1,PNC Trade Finance,5,Created cost-effective CRM solution instead of expensive enterprise system
267,Example of helping save costs or eliminate waste,2,Statements Hub,4,Identified and proposed eliminating duplicate infrastructure across teams
268,Project completed with limited resources,1,PNC Trade Finance,5,Built successful CRM system with minimal resources in frugal period
268,Project completed with limited resources,2,Ripple pilot,4,Managed complex project by taking on PM role instead of requesting headcount
269,Creative solution with limited resources,1,PNC Trade Finance,5,Built custom CRM system instead of waiting for enterprise solution
269,Creative solution with limited resources,2,OLAF Innovation,4,Found creative ways to streamline onboarding without system changes
270,Tradeoffs between quality and cost,1,Global Pay Research,5,Created two-stage approach balancing speed/cost with research quality
270,Tradeoffs between quality and cost,2,PNC Trade Finance,4,Balanced quick custom solution vs waiting for enterprise system
271,Tell me about a creative solution without additional resources,1,PNC Trade Finance,5,Created innovative CRM solution using existing skills instead of new resources
271,Tell me about a creative solution without additional resources,2,OLAF Innovation,4,Redesigned onboarding process without additional system investments
272,Example of requesting additional funding/budget,1,OLAF Scope,4,Successfully argued for expanded project scope and resources
273,Time when deciding whether to award additional resources,0,No match,0,No stories about being in position to award resources to others
274,Challenging team for more efficient solution,1,Global Pay STP rates,4,Led team to find more efficient payment processing solutions
275,Deciding whether to award/ask for additional resources,1,Ripple pilot,4,Chose to take on PM role instead of requesting additional headcount
