ID,Question,Category,Source,Original number,Story count,short version
182,Describe a time when you had to face particularly challenging situations while working on a project and what you did to overcome them.,LP: Deliver Results,Day One Career,11,2,Describe a time when you had to face particularly challenging situations while working on a project.
183,Give me an example of a time when you were at risk of not meeting a goal. What did you do to try to meet it? Were you successful?,LP: Deliver Results,Day One Career,12,2,Give me an example of a time when you were at risk of not meeting a goal.
184,Tell me about a time when you were trying to achieve a goal but barriers you hadn't planned for kept getting in your way. How did you get past those barriers?,LP: Deliver Results,Day One Career,13,2,Tell me about a time when barriers you hadn't planned for kept getting in your way.
185,Describe a time when you had to face a particularly challenging situation while working on a project and what you did to overcome it.,LP: Deliver Results,Genie 2021,14,1,Describe a time when you had to face a particularly challenging situation while working on a project.
186,How you check your progress against your goals?,LP: Deliver Results,Genie 2021,15,1,How you check your progress against your goals?
187,"Do you set and communicate smart team goals, expectations, and priorities? Do you help employees stay focused/help them remove barriers/roadblocks towards meeting team goals?",LP: Deliver Results,Genie 2021,16,1,Do you set and communicate smart team goals and help remove barriers toward meeting them?
188,Give me an example of a time you struggled with something and then turned it around.,LP: Deliver Results,Genie 2021,17,1,Give me an example of a time you struggled with something and then turned it around.
189,Tell me about a time where you not only met the goal but considerably exceeded expectations. How were you able to do it?,LP: Deliver Results,Genie 2021,18,2,Tell me about a time where you not only met the goal but considerably exceeded expectations.
190,What's the most complicated problem you've ever worked on?,LP: Deliver Results,Genie 2021,19,2,What's the most complicated problem you've ever worked on?
191,Have you ever worked on something really hard and then failed?,LP: Deliver Results,Genie 2021,20,1,Have you ever worked on something really hard and then failed?
192,Tell me about a technical problem you couldn't solve.,LP: Deliver Results,Genie 2021,21,1,Tell me about a technical problem you couldn't solve.
193,Describe a situation where you had to face a particularly challenging situation while working on a project and what you did to overcome it.,LP: Deliver Results,Genie 2024,22,2,Describe a situation where you had to face a particularly challenging situation while working on a project.
194,"Do you set and communicate smart team goals, expectations, and priorities; help employees stay focused/help others remove barriers/roadblocks towards meeting team goals?",LP: Deliver Results,Genie 2024,24,1,Do you set and communicate smart team goals and help remove barriers toward meeting team goals?
195,Tell me about a time when you were able to persevere through setbacks and overcome obstacles to deliver outstanding results.,LP: Deliver Results,Genie 2024,25,2,Tell me about a time when you were able to persevere through setbacks to deliver outstanding results.
196,What's the most complex problem you've ever worked on?,LP: Deliver Results,Genie 2024,27,2,What's the most complex problem you've ever worked on?
197,"Tell me about a time when you were leading a group, were assigned a goal, and did not reach it.",LP: Deliver Results,Other,29,1,"Tell me about a time when you were leading a group, were assigned a goal, and did not reach it."
198,Tell me about a time where you not only met a goal but considerably exceeded expectations.,LP: Deliver Results,Other,30,2,Tell me about a time where you not only met a goal but considerably exceeded expectations.
199,Tell me about a time when you were able to deliver an important project under a tight deadline.,LP: Deliver Results,Other,31,1,Tell me about a time when you were able to deliver an important project under a tight deadline.
200,"Tell me about a time where you did not effectively manage your project, and something did not get completed on time?",LP: Deliver Results,Other,32,1,Tell me about a time where you did not effectively manage your project and something did not get completed on time?
201,"Tell me about a time you had significant, unanticipated obstacles to overcome in achieving a key goal. Were you eventually successful?",LP: Deliver Results,Other,33,2,"Tell me about a time you had significant, unanticipated obstacles to overcome in achieving a key goal"
202,Tell me about a time when you were able to remove a serious roadblock/barrier preventing your team from making progress? What was the outcome?,LP: Deliver Results,Other,34,2,Tell me about a time when you were able to remove a serious roadblock/barrier preventing your team from making progress
203,Tell me about a time when you were more than half-way and realized it was the wrong goal,LP: Deliver Results,Other,35,1,Tell me about a time when you were more than half-way and realized it was the wrong goal
204,Tell me about a time when you were trying to understand a complex problem on your team and you had to dig into the details to figure it out. Who did you talk with or where did you have to look to find the most valuable information?,LP: Dive Deep,Amazon,1,2,Tell me about a time when you were trying to understand a complex problem and had to dig into the details
205,Tell me about a situation that required you to dig deep to get to the root cause. How did you know you were focusing on the right things? What was the outcome?,LP: Dive Deep,Amazon,2,2,Tell me about a situation that required you to dig deep to get to the root cause
206,Tell me about a problem you had to solve that required in-depth thought and analysis. How did you know you were focusing on the right things? What was the outcome?,LP: Dive Deep,Amazon,3,2,Tell me about a problem you had to solve that required in-depth thought and analysis
207,Walk me through a big problem or issue in your organization that you helped to solve. How did you become aware of it? What information did you gather?,LP: Dive Deep,Amazon,4,2,Walk me through a big problem or issue in your organization that you helped to solve
208,Tell me about a specific metric you have used to identify a need for a change in your department. Did you create the metric or was it already available?,LP: Dive Deep,Amazon,5,1,Tell me about a specific metric you have used to identify a need for a change in your department
209,Have you ever created a metric that helped identify a need for a change in your department? What was the metric? Why did you create it?,LP: Dive Deep,Amazon,6,1,Have you ever created a metric that helped identify a need for a change in your department
210,Tell me about a time when you had to validate the assumptions underlying a direct report's project. How did you decide follow up was necessary?,LP: Dive Deep,Amazon,7,0,Tell me about a time when you had to validate the assumptions underlying a direct report's project
211,"Amazon uses a root cause analysis process called the 5 whys. Can you give me an example of when you have asked yourself ""why"" 5 times or more to get to the bottom of a problem?",LP: Dive Deep,Day One Career,8,2,"Amazon uses a root cause analysis process called the 5 whys. Can you give me an example of when you asked ""why"" 5 times to get to the bottom of a problem?"
212,Give me an example of a time when you had to dig really deep into multiple tiers of information to get to the source of a problem. What information did you look at?,LP: Dive Deep,Day One Career,9,2,Give me an example of a time when you had to dig really deep into multiple tiers of information to get to the source of a problem
213,"Walk me through a problem where the solution wasn't easy to get to and you needed to use lots of data, information and scrutiny to solve it.",LP: Dive Deep,Day One Career,10,2,Walk me through a problem where the solution wasn't easy to get to and you needed to use lots of data and scrutiny to solve it
214,Can you tell me about a data point that lead you to decide something needed to be changed in your area?,LP: Dive Deep,Day One Career,11,1,Can you tell me about a data point that lead you to decide something needed to be changed in your area?
215,"Can you give me an example of a time when someone gave you an explanation for something, you didn't think was right and you investigated in order get to the true answer?",LP: Dive Deep,Day One Career,12,1,Can you give me an example of a time when someone gave you an explanation you didn't think was right and you investigated to get the true answer?
216,Give me an example of when you used data to make a decision/solve a problem.,LP: Dive Deep,Genie 2021,13,2,Give me an example of when you used data to make a decision/solve a problem
217,Tell me about an important analysis you did.,LP: Dive Deep,Genie 2021,14,2,Tell me about an important analysis you did
218,Tell me a time you gave insights beyond the data.,LP: Dive Deep,Genie 2021,15,1,Tell me a time you gave insights beyond the data
219,Have you ever leveraged data to develop strategy?,LP: Dive Deep,Genie 2021,16,2,Have you ever leveraged data to develop strategy?
220,Tell me about a time you were trying to understand a problem on your team and you had to go down several layers to figure it out.,LP: Dive Deep,Genie 2021,17,2,Tell me about a time you were trying to understand a problem on your team and you had to go down several layers to figure it out
221,Tell me about a problem you had to solve that required in-depth thought and analysis.,LP: Dive Deep,Genie 2021,18,2,Tell me about a problem you had to solve that required in-depth thought and analysis
222,Walk me through a big problem in your organization that you helped to solve. How did you become aware of it?,LP: Dive Deep,Genie 2021,19,2,Walk me through a big problem in your organization that you helped to solve
223,Can you tell me about a specific metric you've used to identify a need for change in your department?,LP: Dive Deep,Genie 2021,20,1,Can you tell me about a specific metric you've used to identify a need for change in your department?
224,When did you dig into a specific metric or KPI?,LP: Dive Deep,Genie 2021,21,1,When did you dig into a specific metric or KPI?
225,Walk me through a big problem in your organization that you helped to solve.,LP: Dive Deep,Genie 2024,27,2,Walk me through a big problem in your organization that you helped to solve
226,Tell me about the most complex problem you've ever worked on,LP: Dive Deep,Other,30,2,Tell me about the most complex problem you've ever worked on
227,"Tell me about a time you were trying to understand a problem on your team, and you had to go down several layers to figure it out.",LP: Dive Deep,Other,32,2,Tell me about a time you were trying to understand a problem on your team and had to go down several layers
228,Tell me about a time when you had to communicate a change in direction that you anticipated people would have concerns with. What did you do to understand the concerns and mitigate them? Were there any changes you made along the way after hearing these concerns? How did you handle questions and/or resistance? Were you able to get people comfortable with the change?,LP: Earn Trust,Amazon,1,2,Tell me about communicating a change in direction that people would have concerns with
229,Give me an example of a tough or critical piece of feedback you received. What was it and what did you do about it?,LP: Earn Trust,Amazon,2,2,Give me an example of a tough or critical piece of feedback you received
230,Describe a time when you needed to influence a peer who had a differing opinion about a shared goal. What did you do? What was the outcome?,LP: Earn Trust,Amazon,3,2,Describe a time when you needed to influence a peer who had a differing opinion about a shared goal
231,Give me an example of a time when you were not able to meet a commitment. What was the impact to your customers/peers and what did you learn from it?,LP: Earn Trust,Amazon,4,1,Give me an example of a time when you were not able to meet a commitment.
232,Tell me about a time when your team's goals were out of alignment with another team you relied on in order to meet your goal. How did you work with the other team? Were you able to achieve your goals?,LP: Earn Trust,Amazon,5,1,Tell me about a time when your team's goals were out of alignment with another team
233,Tell me about a time when you uncovered a significant problem in your team. What was it and how did you communicate it to your manager and other stakeholders? What did you do to address the problem?,LP: Earn Trust,Amazon,6,1,Tell me about a time when you uncovered a significant problem in your team
234,Describe a time when you improved morale and productivity on your team. What were the underlying problems and their causes? How did you prevent them from negatively impacting the team in the future?,LP: Earn Trust,Amazon,7,1,Describe a time when you improved morale and productivity on your team
235,Tell me about a time when a team member was struggling at work and you stepped in to help out. Why did you think they were struggling? Why did you decide to step in and support? What did you do to help out?,LP: Earn Trust,Amazon,8,1,Tell me about a time when a team member was struggling at work
236,Tell me about a time when you uncovered a significant problem in your team. What was it and how did you communicate it to your manager and other stakeholders?,LP: Earn Trust,Day One Careers,9,2,Tell me about a time when you uncovered a significant problem in your team
237,"Describe a time when there was a morale issue in your team but thanks to your efforts the team was able to recover? How did you identify the issue, turn things around and make sure the problem didn't return?",LP: Earn Trust,Day One Careers,10,0,Describe a time when there was a morale issue in your team
238,"Give an example of a time where you failed on an obligation to a colleague. What did you do in response, what was the impact and what did you learn?",LP: Earn Trust,Day One Careers,11,1,Give an example of a time where you failed on an obligation to a colleague
239,Tell me about a piece of feedback you recently gave to a colleague that you expected or were surprised they found difficult. How did you prepare and respond?,LP: Earn Trust,Day One Careers,12,1,Tell me about a piece of feedback you recently gave to a colleague
240,Tell me about a time you were tasked with giving your team news that you knew they would not like. How did you plan the message and deal with the reactions?,LP: Earn Trust,Day One Careers,13,0,Tell me about a time you were tasked with giving your team news they would not like
241,Tell me about a time when you needed the cooperation of someone who didn't want to give it. How and did you convince them to support you?,LP: Earn Trust,Day One Careers,14,2,Tell me about a time when you needed cooperation from someone who didn't want to give it
242,Give me an example of a time when you had goals that were in conflict with a peer but you needed their support. How did you achieve alignment?,LP: Earn Trust,Day One Careers,15,1,Give me an example of a time when you had goals in conflict with a peer
243,Tell me about a time you had to earn trust quickly.,LP: Earn Trust,Genie 2021,16,2,Tell me about a time you had to earn trust quickly
244,Describe a time when you significantly contributed to improving morale and productivity on your team. What were the underlying problems and their causes?,LP: Earn Trust,Genie 2021,17,1,Describe a time when you significantly contributed to improving morale and productivity
245,Give an example of a time where you were not able to meet a commitment to a team member. What was the commitment and what prevented you from meeting it?,LP: Earn Trust,Genie 2021,18,1,Give an example of not meeting a commitment to a team member
246,Tell me about a piece of direct feedback you recently gave to a colleague. How did he or she respond?,LP: Earn Trust,Genie 2021,19,1,Tell me about a piece of direct feedback you recently gave to a colleague
247,How do you like to receive feedback from coworkers or managers?,LP: Earn Trust,Genie 2021,20,0,How do you like to receive feedback from coworkers or managers
248,Tell me about a time you had to communicate a big change in direction for which you anticipated people would have a lot of concerns. How did you handle questions and/or resistance?,LP: Earn Trust,Genie 2021,21,1,Tell me about communicating a big change with anticipated concerns
249,Tell me about a time when someone criticized you about a piece of work/analysis that you delivered. How did you react? What was the outcome?,LP: Earn Trust,Genie 2021,22,1,Tell me about a time when someone criticized your work
250,How do you convince someone who is resistant to what you're trying to do?,LP: Earn Trust,Genie 2021,23,2,How do you convince someone resistant to what you're trying to do
251,Tell me about a time you uncovered a problem on your team.,LP: Earn Trust,Genie 2021,24,2,Tell me about a time you uncovered a problem on your team
252,What would you do if you found out that your closest friend at work was stealing?,LP: Earn Trust,Genie 2021,25,0,What would you do if your closest friend at work was stealing
253,Tell me about a time when you had to tell someone a harsh truth.,LP: Earn Trust,Genie 2021,26,0,Tell me about a time when you had to tell someone a harsh truth
254,Do you collaborate well?,LP: Earn Trust,Genie 2021,27,2,Do you collaborate well
255,How do you earn trust from a team that you inherited?,LP: Earn Trust,Genie 2021,28,0,How do you earn trust from a team that you inherited
256,When did you negotiate with others in your organization to reach an agreement?,LP: Earn Trust,Genie 2021,29,2,When did you negotiate with others to reach an agreement
257,Building trust can be difficult to achieve at times. Tell me about how you've effectively built trusting working relationships with others on your team.,LP: Earn Trust,Genie 2024,31,2,Tell me how you've built trusting working relationships
258,Give an example of a time where you were not able to meet a commitment to a team member. What was the outcome and what did you learn from it?,LP: Earn Trust,Genie 2024,33,1,Give an example of not meeting a commitment to a team member
259,Describe a time when you needed the cooperation of a peer or peers who were resistant to what you were trying to do. What did you do?,LP: Earn Trust,Genie 2024,34,2,Describe getting cooperation from resistant peers
260,Tell me about a time when someone criticized you about a piece of work/analysis that you delivered. How did you react?,LP: Earn Trust,Genie 2024,37,1,Tell me about receiving criticism of your work
261,Tell me about a time you had to communicate a big change in direction for which you anticipated people would have a lot of concerns.,LP: Earn Trust,Genie 2024,39,1,Tell me about communicating a big change in direction
262,Tell me about a critical piece of feedback you received,LP: Earn Trust,Other,41,1,Tell me about a critical piece of feedback you received
263,Tell me about a time when you saw your team member was struggling.,LP: Earn Trust,Other,42,1,Tell me about when you saw your team member struggling
264,Building trust with teams can be difficult to achieve sometimes. Can you give me an example of how you effectively built trusting working relationships with others?,LP: Earn Trust,Other,43,2,How did you effectively build trusting working relationships
265,"Can you describe a time you needed the cooperation of a resistant peer? What was the situation, and how did you handle that?",LP: Earn Trust,Other,44,2,Describe getting cooperation from a resistant peer
266,Your team goals were misaligned with another team. How were you able to match this up?,LP: Earn Trust,Other,45,1,How did you align mismatched team goals
267,Give me an example of how you have helped save costs or eliminate waste within your role or organization.,LP: Frugality,Amazon,1,2,Example of helping save costs or eliminate waste
268,Describe a time when you had to get a project completed with limited resources.,LP: Frugality,Amazon,2,2,Project completed with limited resources
269,Tell me about a time when you didn't have enough resources but found a creative way to get it done.,LP: Frugality,Amazon,3,2,Creative solution with limited resources
270,Tell me about a time when you had to make tradeoffs between quality and cost.,LP: Frugality,Amazon,4,2,Tradeoffs between quality and cost
271,Tell me about a time when you generated a creative solution without requiring additional resources.,LP: Frugality,Amazon,5,2,Tell me about a creative solution without additional resources
272,Give an example of a time you requested additional funding/budget to complete a project.,LP: Frugality,Amazon,6,1,Example of requesting additional funding/budget
273,Describe a time when you had to decide whether or not to award additional resources.,LP: Frugality,Amazon,7,0,Time when deciding whether to award additional resources
274,Give an example of when you challenged your team to come up with a more efficient solution.,LP: Frugality,Amazon,8,1,Challenging team for more efficient solution
275,Describe a time when you had to decide whether to award or ask for additional resources.,LP: Frugality,Day One Careers,9,1,Deciding whether to award/ask for additional resources
276,Tell me about a time when you pushed for a more cost-effective or operationally efficient process.,LP: Frugality,Day One Careers,10,2,Pushing for cost-effective/efficient process
277,Tell me about a time where you thought of a new way to save money or reduce excess.,LP: Frugality,Day One Careers,11,2,New way to save money or reduce excess
278,Tell me about a time when you had to work with limited time or resources.,LP: Frugality,Day One Careers,12,2,Working with limited time or resources
279,Describe a time when you achieved more output without additional investment.,LP: Frugality,Day One Careers,13,2,Achieving more output without additional investment
280,Tell me about a time you came up with an alternative proposal that would achieve the same outcome for less cost.,LP: Frugality,Day One Careers,14,2,Alternative proposal achieving same outcome for less
281,What motivated you to make this recommendation and how did you ensure you weren't compromising?,LP: Frugality,Day One Careers,15,1,What motivated this recommendation without compromising
282,Give me a time you requested additional funding to complete a project.,LP: Frugality,Day One Careers,16,1,Time requesting additional funding
283,Tell me about a time where you thought of a new way to save money for the company.,LP: Frugality,Genie 2021,17,2,New way to save company money
284,Describe a time when you had to manage a budget. Were you able to get more out of less?,LP: Frugality,Genie 2021,18,1,Managing a budget to get more from less
285,Here at Amazon we are frugal – how will you manage projects with no budget and no resources?,LP: Frugality,Genie 2021,19,2,Managing projects with no budget/resources
286,Describe a time when you improved a process with a limited budget.,LP: Frugality,Genie 2021,21,1,Improving process with limited budget
287,Tell me about a time when you strongly disagreed with your manager or peer on something you considered very important to the business. What was it and how did you handle it?,LP: Have Backbone; Disagree and Commit,Amazon,1,2,Strongly disagreeing with manager/peer
288,Describe a time when you took an unpopular stance in a meeting with peers and your leader. What was it? Why did you feel strongly about it?,LP: Have Backbone; Disagree and Commit,Amazon,2,2,Taking unpopular stance in meeting
289,"Often, we must make decisions as a group. Give me an example of a time you committed to a group decision even though you disagreed.",LP: Have Backbone; Disagree and Commit,Amazon,3,0,Committing to disagreed group decision
290,Describe a time when you felt really strongly about something on a project but the team decided to go in a different direction. How did you approach that project afterward?,LP: Have Backbone; Disagree and Commit,Amazon,4,0,Proceeding after team chose different direction
291,Tell me about a time when you pushed back against a decision that negatively impacted your team. What was the issue?,LP: Have Backbone; Disagree and Commit,Amazon,5,0,Pushing back against decision impacting team
292,Give me an example of when you submitted a great idea to your manager and they did not support it. What was the idea?,LP: Have Backbone; Disagree and Commit,Amazon,6,1,Manager not supporting great idea
293,Describe a time when you had to support a business initiative that you didn't agree with. How did you handle it?,LP: Have Backbone; Disagree and Commit,Amazon,7,0,Supporting disagreed business initiative
294,Tell me about a time when the business gained something because you persisted for a length of time. Why were you so determined?,LP: Have Backbone; Disagree and Commit,Amazon,8,2,Business gained from your persistence
295,"Describe a situation where you thought you were right, but your peers or supervisor did not agree with you. How did you try to convince them?",LP: Have Backbone; Disagree and Commit,Day One Careers,9,2,Convincing others when you thought you were right
296,Tell me about a time that your manager and you took firm opposite positions on a decision. What was it about and how did you handle it?,LP: Have Backbone; Disagree and Commit,Day One Careers,10,1,Manager and you taking opposite positions
297,Give me an example of a time you chose to acquiesce to the group even when you disagreed.,LP: Have Backbone; Disagree and Commit,Day One Careers,11,0,Acquiescing to group despite disagreement
298,Give me an example of a time you were asked to do something you strongly disagreed with but your arguments against it failed.,LP: Have Backbone; Disagree and Commit,Day One Careers,12,0,Arguments against disagreeable task failed
299,Give me an example of when you took a position in a meeting of colleagues or leaders that put you at odds with everyone else.,LP: Have Backbone; Disagree and Commit,Day One Careers,13,2,Taking position against everyone else
300,Tell me about a time when you did not accept the status quo.,LP: Have Backbone; Disagree and Commit,Genie 2021,14,3,Not accepting status quo
301,Tell me about an unpopular decision of yours.,LP: Have Backbone; Disagree and Commit,Genie 2021,15,1,Tell me about an unpopular decision
302,Tell me about a time when you had to step up and disagree with a team members approach.,LP: Have Backbone; Disagree and Commit,Genie 2021,16,1,Stepping up to disagree with team member's approach
303,"If your direct manager was instructing you to do something you disagreed with, how would you handle it?",LP: Have Backbone; Disagree and Commit,Genie 2021,17,1,Handling disagreement with manager's instruction
304,Tell me about a time you had a disagreement with a manager.,LP: Have Backbone; Disagree and Commit,Genie 2021,18,1,Time you had disagreement with manager
305,Have you ever had a disagreement with your project manager?,LP: Have Backbone; Disagree and Commit,Genie 2021,19,1,Disagreement with project manager
306,Tell me about a time you had a disagreement with a colleague.,LP: Have Backbone; Disagree and Commit,Genie 2021,20,1,Disagreement with colleague
307,How would you handle it if your teammates wouldn't cooperate with you?,LP: Have Backbone; Disagree and Commit,Genie 2021,21,1,Handling uncooperative teammates
308,Describe a situation where other members of your team didn't agree with your ideas. What did you do?,LP: Have Backbone; Disagree and Commit,Genie 2024,22,2,Team disagreeing with your ideas
309,Tell me about a situation where you had a conflict with someone on your team. What was the outcome?,LP: Have Backbone; Disagree and Commit,Genie 2024,23,1,Conflict with team member and outcome
310,Tell me about a time when you had to step up and disagree with a team member's approach.,LP: Have Backbone; Disagree and Commit,Genie 2024,26,2,Stepping up to disagree with team member's approach
311,"Tell me about a time when you took an unpopular stance in a meeting with peers and your leader, and you were the outlier.",LP: Have Backbone; Disagree and Commit,Other,29,2,Taking unpopular stance as outlier
312,Tell me about a time when do you decide to go along with the group decision even if you disagree.,LP: Have Backbone; Disagree and Commit,Other,30,0,Going along with group despite disagreement
313,How would you handle it if your teammates wouldn’t cooperate with you?,LP: Have Backbone; Disagree and Commit,Other,39,2,Handling uncooperative teammates
314,Tell me about a time when you helped one of your team members develop their career. How did you help that team member? What was the result?,LP: Hire & develop the best,Amazon,1,1,Helping team member develop career
315,Tell me about a time when you invested in an employee's development. What did you invest in and why? What was the outcome? Can you share an example where investing in an employee's development didn't work out?,LP: Hire & develop the best,Amazon,2,1,Investing in employee development
316,Give me an example of a time you provided feedback to develop the strengths of someone on your team. Were you able to positively impact their performance?,LP: Hire & develop the best,Amazon,3,1,Providing feedback to develop strengths
317,Tell me about a time when you provided coaching for a team member. What started the coaching? What was the outcome?,LP: Hire & develop the best,Amazon,4,1,Providing coaching for team member
318,Tell me about someone you hired that you thought complemented your skills. How did you coach an individual in areas where you have a weakness?,LP: Hire & develop the best,Amazon,5,0,Hiring complementary skills and coaching
319,Tell me about a time when you helped a remote team member develop their career. Can you give me an example of a specific team member and how you helped them develop across the geographic distance?,LP: Hire & develop the best,Amazon,6,0,Helping remote team member develop
320,Describe a person who struggled to get promoted under your leadership and how you helped facilitate their success.,LP: Hire & develop the best,Amazon,7,1,Helping struggling person get promoted
321,Tell me about your most challenging talent review and promotion process that you conducted for your team. What made it challenging? What factors did you consider? Did you incorporate a tool to counter unconscious bias? How do you manage perceptions of unfair treatment?,LP: Hire & develop the best,Amazon,8,0,Most challenging talent review and promotion process
322,"Describe a time when you constructed a team to accomplish a goal. What factors did you consider? Did you factor diversity into your team construction? How did you balance work requirements, team skill composition, and team stretch opportunities?",LP: Hire & develop the best,Amazon,9,1,Constructing team to accomplish goal
323,Tell me about a time when you had a low performing individual on your team. How did you deliver feedback? Did their performance improve?,LP: Hire & develop the best,Amazon,10,0,Handling low performing individual
324,Tell me about someone you hired that you think was one of the best hire decisions of your career.,LP: Hire & develop the best,Day One Careers,11,0,Best hire decision of your career
325,Tell me about a time when you actively coached or mentored somebody. Why did you decide to do it? What was your approach? What was the outcome?,LP: Hire & develop the best,Day One Careers,12,1,Actively coaching or mentoring somebody
326,Tell me about a time when you helped a remote team member develop their career. How did you help them develop across the distance?,LP: Hire & develop the best,Day One Careers,13,0,Helping remote team member develop
327,Tell me about a time when you provided feedback to a member of your team to leverage or develop their strengths. What was the outcome? What methods of feedback/coaching did you find effective?,LP: Hire & develop the best,Day One Careers,14,1,Providing feedback to leverage strengths
328,Tell me about a time when you hired someone to fill gaps in your own skill set. How were you still able to support their development?,LP: Hire & develop the best,Day One Careers,15,0,Hiring to fill skill gaps
329,Tell me about someone who got promoted in your organisation because of the coaching and development efforts you invested in them.,LP: Hire & develop the best,Day One Careers,16,1,Someone promoted due to your coaching
330,What is your management style?,LP: Hire & develop the best,Genie 2021,17,2,Management style
331,Why would anyone want to work for you?,LP: Hire & develop the best,Genie 2021,18,2,Why would anyone want to work for you
332,How do you approach managing your reports?,LP: Hire & develop the best,Genie 2021,19,1,Approach to managing reports
333,Are you a manager or a leader?,LP: Hire & develop the best,Genie 2021,20,1,Are you a manager or leader
334,Do you feel it's your responsibility to develop your team members or is it their responsibility to drive themselves?,LP: Hire & develop the best,Genie 2021,21,2,Responsibility for team development
335,What are your previous hiring experiences?,LP: Hire & develop the best,Genie 2021,22,0,Previous hiring experiences
336,What do you look for in hiring for a position?,LP: Hire & develop the best,Genie 2021,23,0,What you look for in hiring
337,Which is more important: attitude or aptitude?,LP: Hire & develop the best,Genie 2021,24,0,Attitude vs aptitude importance
338,Tell me about one of the best hires of your career.,LP: Hire & develop the best,Genie 2021,25,0,Best hire of your career
339,What was your biggest mistake in hiring someone?,LP: Hire & develop the best,Genie 2021,26,0,Biggest hiring mistake
340,What would you do if you were in the hiring process and you found a borderline candidate?,LP: Hire & develop the best,Genie 2021,27,0,Handling borderline candidate
341,"Describe a time you constructed a team. What factors did you consider? Did you factor in diversity? How did you balance work requirements, team skill composition, and team stretch opportunities?",LP: Hire & develop the best,Genie 2021,28,1,Constructing a team with various factors
342,How do you evaluate the productivity/effectiveness of your subordinates?,LP: Hire & develop the best,Genie 2021,29,0,Evaluating subordinate productivity
343,How do you handle performance reviews?,LP: Hire & develop the best,Genie 2021,30,0,Handling performance reviews
344,Tell me about a difficult performance review.,LP: Hire & develop the best,Genie 2021,31,0,Difficult performance review
345,How do you handle a subordinate whose work is not up to expectations?,LP: Hire & develop the best,Genie 2021,32,0,Handling underperforming subordinate
346,Have you ever had a subordinate whose performance was consistently marginal? What did you do?,LP: Hire & develop the best,Genie 2021,33,0,Managing consistently marginal performer
347,Tell me about a time when you had to take disciplinary action with someone you supervised.,LP: Hire & develop the best,Genie 2021,34,0,Taking disciplinary action
348,Give an example of how you handle the need for constructive criticism with a subordinate or peer.,LP: Hire & develop the best,Genie 2021,35,1,Handling constructive criticism
349,Tell me about a specific development plan that you created and carried out with one or more of your employees. What was the specific situation?,LP: Hire & develop the best,Genie 2021,36,2,Creating specific development plan
350,Tell me about a time when you actively coached or mentored somebody. What were your key takeaways? What was the outcome?,LP: Hire & develop the best,Genie 2021,37,2,Actively coaching or mentoring
351,True or false: The success of a manager can be measured by the promotability of his team.,LP: Hire & develop the best,Genie 2021,38,1,Manager success measured by team promotability
352,How do you manage top performers? When do you give positive feedback to people? Tell me about the last time you did.,LP: Hire & develop the best,Genie 2021,39,0,Managing top performers and giving feedback
353,Tell me about the most challenging talent review and promotion process that you conducted for your team. What made it challenging?,LP: Hire & develop the best,Genie 2021,41,0,Challenging talent review/promotion process
354,There are times when people need extra help. Give an example of when you were able to provide that support to a person with whom you worked.,LP: Hire & develop the best,Genie 2021,42,1,Providing extra help to team member
355,What have you done to improve the skills of your subordinates?,LP: Hire & develop the best,Genie 2021,43,2,Improving subordinate skills
356,"How do you deal with managing a team of different backgrounds, levels, and skills?",LP: Hire & develop the best,Genie 2021,45,1,Managing team with different backgrounds/levels
357,How do you make sure your team is diverse?,LP: Hire & develop the best,Genie 2021,46,0,Ensuring team diversity
358,"What team combination do you prefer, all senior people or...?",LP: Hire & develop the best,Genie 2021,47,0,Preferred team composition
359,How do you get subordinates to produce at a high level? Give an example.,LP: Hire & develop the best,Genie 2021,48,2,Getting high production from subordinates
360,Give an example of how you have been successful at empowering either a person or a group of people to accomplish a task.,LP: Hire & develop the best,Genie 2021,49,2,Successfully empowering others
361,It can be difficult to set goals for a team that are challenging yet achievable. Tell me about a time when you hit the right balance.,LP: Hire & develop the best,Genie 2021,50,1,It can be difficult to set goals for a team that are challenging yet achievable. Tell me about a time when you hit the right balance.
362,Describe a time when you had to decide whether or not to award or ask for additional resources. What criteria did you use for making the call?,LP: Hire & develop the best,Genie 2021,51,1,Describe a time when you had to decide whether or not to award or ask for additional resources. What criteria did you use for making the call?
363,Give an example of a time when you challenged your team to come up with a more efficient solution or process.,LP: Hire & develop the best,Genie 2021,52,2,Give an example of a time when you challenged your team to come up with a more efficient solution or process.
364,Tell me about a time when you encouraged a team member or organization to take a big risk.,LP: Hire & develop the best,Genie 2021,53,2,Tell me about a time when you encouraged a team member or organization to take a big risk.
365,Tell me about a time when you established a vision for a team when there wasn't one.,LP: Hire & develop the best,Genie 2021,54,2,Tell me about a time when you established a vision for a team when there wasn't one.
366,Tell me about a time when you uncovered a significant problem in your team.,LP: Hire & develop the best,Genie 2021,56,2,Tell me about a time when you uncovered a significant problem in your team.
367,Tell me about a time when you enabled your team/a team member to implement a significant change or improvement.,LP: Hire & develop the best,Genie 2021,58,2,Tell me about a time when you enabled your team/a team member to implement a significant change or improvement.
368,What is your experience with hiring people?,LP: Hire & develop the best,Genie 2024,61,0,What is your experience with hiring people?
369,How do you ensure you hire the best people?,LP: Hire & develop the best,Genie 2024,62,0,How do you ensure you hire the best people?
370,Give me an example of one of the best hires of your career. How did this person grow throughout their career?,LP: Hire & develop the best,Genie 2024,63,0,Give me an example of one of the best hires of your career. How did this person grow throughout their career?
